Processor,Designer,TransistorCount,Year,Process,Show
"Cell (32-bit, cache)","Sony, IBM, Toshiba",250000000,2005,90,
"Pentium 4 Cedar Mill (32-bit, large cache)",Intel,184000000,2006,65,
"Pentium D Presler (64-bit, large cache)",Intel,3.62E8,2006,65,
"Core 2 Duo Conroe (dual-core 64-bit, large caches)",Intel,291000000,2006,65,
"Dual-core Itanium 2 (64-bit, SIMD, large caches)",Intel,1700000000,2006,90,
"AMD K10 quad-core 2M L3 (64-bit, large caches)",AMD,463000000,2007,65,
"ARM Cortex-A9 (32-bit, (optional) SIMD, caches)",ARM,26000000,2007,45,
"Core 2 Duo Wolfdale (dual-core 64-bit, SIMD, caches)",Intel,411000000,2007,45,"1"
"POWER6 (64-bit, large caches)",IBM,789000000,2007,65,
"Core 2 Duo Allendale (dual-core 64-bit, SIMD, large caches)",Intel,169000000,2007,65,
Uniphier,Matsushita,250000000,2007,45,
"SPARC64 VI (64-bit, SIMD, large caches)",Fujitsu,540000000,2007,90,
"Core 2 Duo Wolfdale 3M (dual-core 64-bit, SIMD, large caches)",Intel,230000000,2008,45,
"Core i7 (quad-core 64-bit, SIMD, large caches)",Intel,731000000,2008,45,"1"
"AMD K10 quad-core 6M L3 (64-bit, SIMD, large caches)",AMD,758000000,2008,45,
"Atom (32-bit, large cache)",Intel,47000000,2008,45,
"SPARC64 VII (64-bit, SIMD, large caches)",Fujitsu,600000000,2008,65,
"Six-core Xeon 7400 (64-bit, SIMD, large caches)",Intel,1900000000,2008,45,
"Six-core Opteron 2400 (64-bit, SIMD, large caches)",AMD,904000000,2009,45,
"SPARC64 VIIIfx (64-bit, SIMD, large caches)",Fujitsu,760000000,2009,45,
"Atom (Pineview) 64-bit, 1-core, 512 kB L2 cache",Intel,123000000,2010,45,
"Atom (Pineview) 64-bit, 2-core, 1 MB L2 cache",Intel,176000000,2010,45,
"SPARC T3 (16-core 64-bit, SIMD, large caches)",Sun/Oracle,1000000000,2010,40,
Six-core Core i7 (Gulftown),Intel,1170000000,2010,32,
"POWER7 32M L3 (8-core 64-bit, SIMD, large caches)",IBM,1200000000,2010,45,
"Quad-core z196[89] (64-bit, very large caches)",IBM,1400000000,2010,45,
"Quad-core Itanium Tukwila (64-bit, SIMD, large caches)",Intel,2000000000,2010,65,
"Xeon Nehalem-EX (8-core 64-bit, SIMD, large caches)",Intel,2300000000,2010,45,
"SPARC64 IXfx (64-bit, SIMD, large caches)",Fujitsu,1870000000,2011,40,
"Quad-core + GPU Core i7 (64-bit, SIMD, large caches)",Intel,1160000000,2011,32,
"Six-core Core i7/8-core Xeon E5 (Sandy Bridge-E/EP) (64-bit, SIMD, large caches)",Intel,2270000000,2011,32,
"Xeon Westmere-EX (10-core 64-bit, SIMD, large caches)",Intel,2600000000,2011,32,
"Atom ""Medfield"" (64-bit)",Intel,432000000,2012,32,
"SPARC64 X (64-bit, SIMD, caches)",Fujitsu,2990000000,2012,28,
"AMD Bulldozer (8-core 64-bit, SIMD, caches)",AMD,1200000000,2012,32,
"Quad-core + GPU AMD Trinity (64-bit, SIMD, caches)",AMD,1303000000,2012,32,
"Quad-core + GPU Core i7 Ivy Bridge (64-bit, SIMD, caches)",Intel,1400000000,2012,22,
"POWER7+ (8-core 64-bit, SIMD, 80 MB L3 cache)",IBM,2100000000,2012,32,
"Six-core zEC12 (64-bit, SIMD, large caches)",IBM,2750000000,2012,32,
"Itanium Poulson (8-core 64-bit, SIMD, caches)",Intel,3100000000,2012,32,
"Xeon Phi (61-core 32-bit, 512-bit SIMD, caches)",Intel,5000000000,2012,22,
"Apple A7 (dual-core 64/32-bit ARM64, ""mobile SoC"", SIMD, caches)",Apple,1000000000,2013,28,
"Six-core Core i7 Ivy Bridge E (64-bit, SIMD, caches)",Intel,1860000000,2013,22,
"POWER8 (12-core 64-bit, SIMD, caches)",IBM,4200000000,2013,22,
"Xbox One main SoC (64-bit, SIMD, caches)","Microsoft, AMD",5000000000,2013,28,
"Quad-core + GPU Core i7 Haswell (64-bit, SIMD, caches)",Intel,1400000000,2014,22,
"Apple A8 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Apple,2000000000,2014,20,
"Core i7 Haswell-E (8-core 64-bit, SIMD, caches)",Intel,2600000000,2014,22,
"Apple A8X (tri-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Apple,3000000000,2014,20,
"Xeon Ivy Bridge-EX (15-core 64-bit, SIMD, caches)",Intel,4310000000,2014,22,
"Xeon Haswell-E5 (18-core 64-bit, SIMD, caches)",Intel,5560000000,2014,22,
"Quad-core + GPU GT2 Core i7 Skylake K (64-bit, SIMD, caches)",Intel,1750000000,2015,14,
"Dual-core + GPU Iris Core i7 Broadwell-U (64-bit, SIMD, caches)",Intel,1900000000,2015,14,
"Apple A9 (dual-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Apple,2000000000+,2015,14,"1"
"Apple A9X (dual core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Apple,3000000000+,2015,16,
"IBM z13 (64-bit, caches)",IBM,3990000000,2015,22,
IBM z13 Storage Controller,IBM,7100000000,2015,22,
"SPARC M7 (32-core 64-bit, SIMD, caches)",Oracle,10000000000,2015,20,
"Core i7 Broadwell-E (10-core 64-bit, SIMD, caches)",Intel,3200000000,2016,14,
"Apple A10 Fusion (quad-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Apple,3300000000,2016,16,
"HiSilicon Kirin 960 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Huawei,4000000000,2016,16,
"Xeon Broadwell-E5 (22-core 64-bit, SIMD, caches)",Intel,7200000000,2016,14,
"Xeon Phi (72-core 64-bit, 512-bit SIMD, caches)",Intel,8000000000,2016,14,
"Qualcomm Snapdragon 835 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Qualcomm,3000000000,2016,10,
"Apple A11 Bionic (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Apple,4300000000,2017,10,
"AMD Zen CCX (core complex unit: 4 cores, 8 MB L3 cache)",AMD,1400000000,2017,14,
"AMD Zeppelin SoC Ryzen (64-bit, SIMD, caches)",AMD,4800000000,2017,14,
"AMD Ryzen 5 1600 Ryzen (64-bit, SIMD, caches)",AMD,4800000000,2017,14,"1"
"IBM z14 (64-bit, SIMD, caches)",IBM,6100000000,2017,14,
IBM z14 Storage Controller (64-bit),IBM,9700000000,2017,14,
"HiSilicon Kirin 970 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Huawei,5500000000,2017,10,
"Xbox One X (Project Scorpio) main SoC (64-bit, SIMD, caches)","Microsoft, AMD",7000000000,2017,16,
"Xeon Platinum 8180 (28-core 64-bit, SIMD, caches)",Intel,8000000000,2017,14,
Xeon (unspecified),Intel,7100000000,2017,14,
"POWER9 (64-bit, SIMD, caches)",IBM,8000000000,2017,14,
"Freedom U500 Base Platform Chip (E51, 4×U54) RISC-V (64-bit, caches)",SiFive,250000000,2017,28,
"SPARC64 XII (12-core 64-bit, SIMD, caches)",Fujitsu,5450000000,2017,20,
"Apple A10X Fusion (hexa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Apple,4300000000,2017,10,
"Centriq 2400 (64/32-bit, SIMD, caches)",Qualcomm,18000000000,2017,10,
"AMD Epyc (32-core 64-bit, SIMD, caches)",AMD,19200000000,2017,14,
"Qualcomm Snapdragon 845 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Qualcomm,5300000000,2017,10,
"Qualcomm Snapdragon 850 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Qualcomm,5300000000,2017,10,
"HiSilicon Kirin 710 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",Huawei,5500000000,2018,12,
"Apple A12 Bionic (hexa-core ARM64 ""mobile SoC"", SIMD, caches)",Apple,6.9E9,2018,7,
"HiSilicon Kirin 980 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",Huawei,6900000000,2018,7,
"Qualcomm Snapdragon 8cx / SCX8180 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",Qualcomm,8500000000,2018,7,
"Apple A12X Bionic (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Apple,10000000000,2018,7,
"Fujitsu A64FX (64/32-bit, SIMD, caches)",Fujitsu,8786000000,2018,7,
Tegra Xavier SoC (64/32-bit),Nvidia,9000000000,2018,12,
"Qualcomm Snapdragon 855 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Qualcomm,6700000000,2018,7,
AMD Zen 2 core (0.5 MB L2 + 4 MB L3 cache),AMD,475000000,2019,7,
"AMD Zen 2 CCX (core complex: 4 cores, 16 MB L3 cache)",AMD,1900000000,2019,7,
"AMD Zen 2 CCD (core complex die: 8 cores, 32 MB L3 cache)",AMD,3800000000,2019,7,
AMD Zen 2 client I/O die,AMD,2090000000,2019,12,
AMD Zen 2 server I/O die,AMD,8340000000,2019,12,
AMD Zen 2 Renoir die,AMD,9800000000,2019,7,
"AMD Ryzen 7 3700X (64-bit, SIMD, caches, I/O die)",AMD,5990000000,2019,7,
HiSilicon Kirin 990 4G,Huawei,8000000000,2019,7,
"Apple A13 (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)",Apple,8.5E9,2019,7,
"IBM z15 CP chip (12 cores, 256 MB L3 cache)",IBM,9200000000,2019,14,
IBM z15 SC chip (960 MB L4 cache),IBM,12200000000,2019,14,
"AMD Ryzen 9 3900X (64-bit, SIMD, caches, I/O die)",AMD,9.89E9,2019,7,
HiSilicon Kirin 990 5G,Huawei,10300000000,2019,7,
"AWS Graviton2 (64-bit, 64-core ARM-based, SIMD, caches)[144][145]",Amazon,30000000000,2019,7,
"AMD Epyc Rome (64-bit, SIMD, caches)",AMD,3.954E10,2019,7,
"Qualcomm Snapdragon 865 (octa-core 64/32-bit ARM64 ""mobile SoC"", SIMD, caches)",Qualcomm,10300000000,2019,7,"1"
"TI Jacinto TDA4VM (ARM A72, DSP, SRAM)",Texas Instruments,3500000000,2020,16,
"Apple A14 Bionic (hexa-core 64-bit ARM64 ""mobile SoC"", SIMD, caches)",Apple,11800000000,2020,5,
"Apple M1 (octa-core 64-bit ARM64 SoC, SIMD, caches)",Apple,16000000000,2020,5,
HiSilicon Kirin 9000,Huawei,1.53E10,2020,5,
"AMD Zen 3 CCX (core complex unit: 8 cores, 32 MB L3 cache)",AMD,4080000000,2020,7,
AMD Zen 3 CCD (core complex die),AMD,4150000000,2020,7,
"Core 11th gen Rocket Lake (8-core 64-bit, SIMD, large caches)",Intel,6000000000+,2021,14,
"AMD Ryzen 7 5800H (64-bit, SIMD, caches, I/O and GPU)",AMD,10700000000,2021,7,
"AMD Epyc 7763 (Milan) (64-core, 64-bit)",AMD,?,2021,7,
Apple A15,Apple,1.5E10,2021,5,
"Apple M1 Pro (10-core, 64-bit)",Apple,33700000000,2021,5,"1"
"Apple M1 Max (10-core, 64-bit)",Apple,5.7E10,2021,5,
Power10 dual-chip module (30 SMT8 cores or 60 SMT4 cores),IBM,36000000000,2021,7,
Dimensity 9000 (ARM64 SoC),Mediatek,1.53E10,2021,4,
Apple A16 (ARM64 SoC),Apple,1.6E10,2022,4,
"Apple M1 Ultra (dual-chip module, 2×10 cores)",Apple,1.14E11,2022,5,
"AMD Epyc 7773X (Milan-X) (multi-chip module, 64 cores, 768 MB L3 cache)",AMD,26000000000 + Milan,2022,7,
"IBM Telum dual-chip module (2×8 cores, 2×256 MB cache)",IBM,4.5E10,2022,7,
"Apple M2 (deca-core 64-bit ARM64 SoC, SIMD, caches)",Apple,20000000000,2022,5,
Dimensity 9200 (ARM64 SoC),Mediatek,1.7E10,2022,4,
"Qualcomm Snapdragon 8 Gen 2 (octa-core ARM64 ""mobile SoC"", SIMD, caches)",Qualcomm,16000000000,2022,4,
AMD EPYC Genoa (4th gen/9004 series) 13-chip module (up to 96 cores and 384 MB (L3) + 96 MB (L2) cache)[180],AMD,9.0E10,2022,5,
HiSilicon Kirin 9000s,Huawei,9510000000,2023,7,
"Apple M3 (octa-core 64-bit ARM64 SoC, SIMD, caches)",Apple,25000000000,2023,3,
"Apple M3 Pro (dodeca-core 64-bit ARM64 SoC, SIMD, caches)",Apple,37000000000,2023,3,
"Apple M3 Max (hexadeca-core 64-bit ARM64 SoC, SIMD, caches)",Apple,92000000000,2023,3,
Apple A17,Apple,1.9E10,2023,3,
"Apple M2 Pro (12-core 64-bit ARM64 SoC, SIMD, caches)",Apple,40000000000,2023,5,
"Apple M2 Max (12-core 64-bit ARM64 SoC, SIMD, caches)",Apple,67000000000,2023,5,
Apple M2 Ultra (two M2 Max dies),Apple,134000000000,2023,5,
AMD Epyc Bergamo (4th gen/97X4 series) 9-chip module (up to 128 cores and 256 MB (L3) + 128 MB (L2) cache),AMD,82000000000,2023,5,
"AMD Instinct MI300A (multi-chip module, 24 cores, 128 GB GPU memory + 256 MB (LLC/L3) cache)",AMD,146000000000,2023,5,
"Apple M4 (deca-core 64-bit ARM64 SoC, SIMD, caches)",Apple,28000000000,2024,3,
